Chapter_Number,Chapter_Title_KN,Chapter_Title_EN,Page_Range,Kannada_Term,English_Term,Transliteration,Category,Importance_Level,Frequency_in_Chapter,Kannada_Definition,English_Definition,Example_KN,Example_EN,Mnemonic_or_Tip
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ವರ್ಗ,Square,Varga,Arithmetic & Powers,Core / Essential,163,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The result obtained by multiplying a number by itself (e.g., n × n = n²).",5 ರ ವರ್ಗ 25 (5² = 25).,The square of 5 is 25 (5² = 25).,Think of a geometric 'Square' with equal sides: Area = side × side.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಘನ,Cube,Ghana,Arithmetic & Powers,Core / Essential,87,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಮೂರು ಬಾರಿ ಅದೇ ಸಂಖ್ಯೆಯಿಂದ ಗುಣಿಸಿದಾಗ ಬರುವ ಗುಣಲಬ್ಧ.,"The product of a number multiplied by itself three times (e.g., n × n × n = n³).",4 ರ ಘನ 64 (4³ = 64).,The cube of 4 is 64 (4³ = 64).,Think of a 3D 'Cube' block: Volume = length × width × height.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಅಪವರ್ತನ,Factor / Divisor,Apavartana,Divisibility & Factors,Core / Essential,67,ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆಯನ್ನು ಶೇಷವಿಲ್ಲದೆ (ನಿಶ್ಶೇಷವಾಗಿ) ಭಾಗಿಸುವ ಸಂಖ್ಯೆ.,A whole number that divides another number exactly without leaving a remainder.,"12 ರ ಅಪವರ್ತನಗಳು 1, 2, 3, 4, 6, 12.","The factors of 12 are 1, 2, 3, 4, 6, and 12.",Factors are whole parts that multiply to build the number.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ವರ್ಗಮೂಲ,Square Root,Vargamoola,Arithmetic & Powers,Core / Essential,37,ಯಾವ ಸಂಖ್ಯೆಯನ್ನು ತನ್ನಷ್ಟಕ್ಕೆ ತಾನೇ ಗುಣಿಸಿದಾಗ ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆ ದೊರೆಯುತ್ತದೆಯೋ ಆ ಸಂಖ್ಯೆ (√ ಸಂಕೇತ).,"A factor of a number that, when multiplied by itself, gives the original number (symbol √).",49 ರ ವರ್ಗಮೂಲ 7 (√49 = 7).,The square root of 49 is 7 (√49 = 7).,'Root' means the origin/base number that grew into the square.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಬೆಸ ಸಂಖ್ಯೆ,Odd Number,Besa Sankhye,Arithmetic,Core / Essential,35,"2 ರಿಂದ ನಿಶ್ಶೇಷವಾಗಿ ಭಾಗವಾಗದ ಪೂರ್ಣಾಂಕಗಳು (1, 3, 5, 7, 9...).",An integer that cannot be divided evenly by 2.,ಮೊದಲ n ಬೆಸ ಸಂಖ್ಯೆಗಳ ಮೊತ್ತ n² ಆಗಿರುತ್ತದೆ.,The sum of the first n odd numbers is always n².,"Odd numbers always end with 1, 3, 5, 7, or 9."
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಪರಿಪೂರ್ಣ ವರ್ಗ,Perfect Square,Paripoorna Varga,Arithmetic & Powers,Core / Essential,34,"ಒಂದು ಪೂರ್ಣಾಂಕದ ವರ್ಗವಾಗಿರುವ ಸಂಖ್ಯೆ (ಉದಾ: 1, 4, 9, 16, 25...).",An integer that is the square of another integer.,36 ಒಂದು ಪರಿಪೂರ್ಣ ವರ್ಗ ಏಕೆಂದರೆ 6 × 6 = 36.,36 is a perfect square because 6 × 6 = 36.,Dots of a perfect square can always form an exact square grid.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಚೌಕ / ಸಮಚತುರ್ಭುಜ,Square (Geometry),Chowka / Samachaturbhuja,Geometry,Core / Essential,17,"ನಾಲ್ಕೂ ಬಾಹುಗಳು ಸಮನಾಗಿದ್ದು, ಎಲ್ಲಾ ಕೋನಗಳು 90° ಆಗಿರುವ ಸಮ ನಿಯಮಿತ ಚತುರ್ಭುಜ.",A regular quadrilateral with four equal sides and four right angles (90°).,ಚೌಕದ ಕರ್ಣಗಳು ಲಂಬವಾಗಿ ಪರಸ್ಪರ ಅರ್ಧಿಸುತ್ತವೆ.,The diagonals of a square bisect each other at right angles (perpendicularly).,All 4 sides equal and all 4 angles 90°.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಕ್ರಮಾನುಗತ ಸಂಖ್ಯೆಗಳು,Consecutive Numbers,Kramaanugata Sankhyegalu,Number Patterns,Core / Essential,15,"ಯಾವುದೇ ಅಂತರವಿಲ್ಲದೆ ಒಂದರ ನಂತರ ಒಂದರಂತೆ ಸತತವಾಗಿ ಬರುವ ಸಂಖ್ಯೆಗಳು (ಉದಾ: n, n+1, n+2...).","Numbers that follow each other in order, without gaps, from smallest to largest.","7, 8, 9 ಕ್ರಮಾನುಗತ ಸಂಖ್ಯೆಗಳಾಗಿವೆ.","7, 8, 9 are consecutive integers.",Consecutive = in continuous sequence (step by step).
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಶೂನ್ಯ,Zero,Shoonya,Number Systems,Core / Essential,12,ಏನೂ ಇಲ್ಲದಿರುವುದನ್ನು ಅಥವಾ ಸ್ಥಾನ ಹಿಡುಕವನ್ನು (place holder) ಸೂಚಿಸುವ ಮಹತ್ವದ ಗಣಿತೀಯ ಸಂಕೇತ.,"The integer denoting nothingness or nullity, acting as a crucial place holder in positional systems.",ಭಾರತೀಯ ಗಣಿತಜ್ಞ ಬ್ರಹ್ಮಗುಪ್ತರು ಶೂನ್ಯದ ಗಣಿತೀಯ ನಿಯಮಗಳನ್ನು ನಿರೂಪಿಸಿದರು.,Indian mathematician Brahmagupta formulated the arithmetic rules of zero.,Zero is both a number and a place-holder placeholder.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಘನಮೂಲ,Cube Root,Ghanamoola,Arithmetic & Powers,Core / Essential,11,ಯಾವ ಸಂಖ್ಯೆಯನ್ನು ಮೂರು ಬಾರಿ ಗುಣಿಸಿದಾಗ ಕೊಟ್ಟಿರುವ ಸಂಖ್ಯೆ ದೊರೆಯುತ್ತದೆಯೋ ಆ ಸಂಖ್ಯೆ (∛ ಸಂಕೇತ).,"A number that, when multiplied by itself three times, yields the original number (symbol ∛).",125 ರ ಘನಮೂಲ 5 (∛125 = 5).,The cube root of 125 is 5 (∛125 = 5).,'Cube Root' finds the side length of a cube from its volume.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಪರಿಪೂರ್ಣ ಘನ,Perfect Cube,Paripoorna Ghana,Arithmetic & Powers,Core / Essential,11,"ಒಂದು ಪೂರ್ಣಾಂಕದ ಘನವಾಗಿರುವ ಸಂಖ್ಯೆ (ಉದಾ: 1, 8, 27, 64, 125...).",An integer that is the cube of another integer.,27 ಒಂದು ಪರಿಪೂರ್ಣ ಘನ ಏಕೆಂದರೆ 3 × 3 × 3 = 27.,27 is a perfect cube because 3 × 3 × 3 = 27.,Cubes can be stacked into a solid 3D cubic block without leftovers.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ವಿಸ್ತೀರ್ಣ / ಕ್ಷೇತ್ರಫಲ,Area,Visteerna / Kshetraphala,Mensuration,Core / Essential,11,ಸಮತಲ ಆಕೃತಿಯು ಆವರಿಸಿರುವ ಒಟ್ಟು ಜಾಗ ಅಥವಾ ಮೇಲ್ಮೈಯ ಅಳತೆ (ಚದರ ಏಕಮಾನಗಳಲ್ಲಿ).,The measurement of the surface extent enclosed within a 2D boundary (expressed in square units).,ಆಯತದ ವಿಸ್ತೀರ್ಣ = ಉದ್ದ × ಅಗಲ (Area = l × b).,Area of rectangle = length × breadth (l × b).,Area = Number of 1x1 unit square tiles needed to cover a surface.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಅವಿಭಾಜ್ಯ ಅಪವರ್ತನೀಕರಣ,Prime Factorization,Avibhaajya Apavartaneekarana,Number Theory,Core / Essential,9,ಒಂದು ಸಂಖ್ಯೆಯನ್ನು ಅದರ ಅವಿಭಾಜ್ಯ ಸಂಖ್ಯೆಗಳ ಗುಣಲಬ್ಧವಾಗಿ ವ್ಯಕ್ತಪಡಿಸುವ ವಿಧಾನ.,Expressing a composite number as a product of its prime factors.,36 ರ ಅವಿಭಾಜ್ಯ ಅಪವರ್ತನೀಕರಣ = 2 × 2 × 3 × 3 = 2² × 3².,Prime factorization of 36 = 2 × 2 × 3 × 3 = 2² × 3².,Breaks down a number into its fundamental prime 'building blocks'.
1,ವರ್ಗ ಮತ್ತು ಘನ,Squares and Cubes,pp. 19-38,ಸಮ ಸಂಖ್ಯೆ,Even Number,Sama Sankhye,Arithmetic,Core / Essential,8,"2 ರಿಂದ ನಿಶ್ಶೇಷವಾಗಿ ಭಾಗವಾಗುವ ಪೂರ್ಣಾಂಕಗಳು (0, 2, 4, 6, 8...).",An integer that is divisible by 2 without leaving a remainder.,ಸಮ ಸಂಖ್ಯೆಯ ವರ್ಗವು ಯಾವಾಗಲೂ ಸಮ ಸಂಖ್ಯೆಯಾಗಿರುತ್ತದೆ.,The square of an even number is always an even number.,Even numbers can be paired up equally.
